file_name,dataset,ct,ft,n_gaussians,trainable_params,epoch_time,peak_memory,mx_queries
physionet2012-mnf-ct-36-ft-12-282828.log,physionet2012,36,12,10,546111,6.503812313079834,1838.18,147.0
mimiciv-mnf-ct-12-ft-36-282824.log,mimiciv,12,36,10,562751,28.48561668395996,21320.79,1336.0
mimiciv-mnf-ct-36-ft-12-282822.log,mimiciv,36,12,10,562751,16.519775867462158,6113.8,454.0
mimiciii-mnf-ct-36-ft-12-282825.log,mimiciii,36,12,10,561215,12.475797891616821,2528.94,264.0
physionet2012-mnf-ct-24-ft-24-282829.log,physionet2012,24,24,10,546111,8.282567262649536,3241.36,297.0
ushcn-mnf-ct-36-ft-12-282831.log,ushcn,36,12,10,537919,1.197986364364624,349.66,6.0
mimiciii-mnf-ct-24-ft-24-282826.log,mimiciii,24,24,10,561215,16.30401921272278,5588.78,512.0
ushcn-mnf-ct-12-ft-36-282833.log,ushcn,12,36,10,537919,1.1736259460449219,350.29,6.0
physionet2012-mnf-ct-12-ft-36-282830.log,physionet2012,12,36,10,546111,9.825521230697632,5117.97,459.0
mimiciii-mnf-ct-12-ft-36-282827.log,mimiciii,12,36,10,561215,19.456804275512695,7853.93,708.0
ushcn-mnf-ct-24-ft-24-282832.log,ushcn,24,24,10,537919,1.2144179344177246,349.66,6.0
mimiciv-mnf-ct-24-ft-24-282823.log,mimiciv,24,24,10,562751,23.011432886123657,12268.13,906.0
